#,Title,Speaker,Year,Month,Session,URL
77,What Is a Teacher?,Paul H. Dunn,1971,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/what-is-a-teacher?lang=eng
78,The Nobility of Man in Choosing Good over Evil,Alvin R. Dyer,1971,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-nobility-of-man-in-choosing-good-over-evil?lang=eng
79,Glimpses of Heaven,Spencer W. Kimball,1971,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/glimpses-of-heaven?lang=eng
80,“If Ye Be Willing and Obedient”,Gordon B. Hinckley,1971,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/if-ye-be-willing-and-obedient?lang=eng
81,The Living Christ,Joseph Anderson,1971,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-living-christ?lang=eng
82,How to Worship,Bruce R. McConkie,1971,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/how-to-worship?lang=eng
83,With Hand and Heart,Thomas S. Monson,1971,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/with-hand-and-heart?lang=eng
84,This Same Jesus,Hugh B. Brown,1971,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/this-same-jesus?lang=eng
85,Let the Spirit of Oneness Prevail,Joseph Fielding Smith,1971,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/let-the-spirit-of-oneness-prevail?lang=eng
86,Counsel to the Saints and to the World,Joseph Fielding Smith,1972,4,Thursday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/counsel-to-the-saints-and-to-the-world?lang=eng
87,A People of Sound Judgment,Mark E. Petersen,1972,4,Thursday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/a-people-of-sound-judgment?lang=eng
88,We Are Called of God,Loren C. Dunn,1972,4,Thursday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/we-are-called-of-god?lang=eng
89,A Challenge to the Priesthood,Vaughn J. Featherstone,1972,4,Thursday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/a-challenge-to-the-priesthood?lang=eng
90,Setting the Example in the Home,H. Burke Peterson,1972,4,Thursday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/setting-the-example-in-the-home?lang=eng
91,Keep the Lines of Communication Strong,Spencer W. Kimball,1972,4,Thursday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/keep-the-lines-of-communication-strong?lang=eng
92,Courts of Love,Robert L. Simpson,1972,4,Thursday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/courts-of-love?lang=eng
93,The Miracle of Missionary Work,Milton R. Hunter,1972,4,Thursday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-miracle-of-missionary-work?lang=eng
94,The Last Dispensation,Alvin R. Dyer,1972,4,Thursday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-last-dispensation?lang=eng
95,Successful Parenthood—A Noteworthy Accomplishment,ElRay L. Christiansen,1972,4,Thursday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/successful-parenthood-a-noteworthy-accomplishment?lang=eng
96,The Importance of a Personal Testimony,James A. Cullimore,1972,4,Thursday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-importance-of-a-personal-testimony?lang=eng
97,Civic Standards for the Faithful Saints,Ezra Taft Benson,1972,4,Thursday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/civic-standards-for-the-faithful-saints?lang=eng
98,"“Judge Not, That Ye Be Not Judged”",N. Eldon Tanner,1972,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/judge-not-that-ye-be-not-judged?lang=eng
99,What Is Your Destination?,Marvin J. Ashton,1972,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/what-is-your-destination?lang=eng
100,Our Witness to the World,Hartman Rector Jr.,1972,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/our-witness-to-the-world?lang=eng
101,The Importance of Prayer,Franklin D. Richards,1972,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-importance-of-prayer?lang=eng
102,“Finishers Wanted”,Thomas S. Monson,1972,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/finishers-wanted?lang=eng
103,"What Will the Church Do for You, a Man?",Gordon B. Hinckley,1972,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/what-will-the-church-do-for-you-a-man?lang=eng
104,Am I My Brother’s Keeper?,Henry D. Taylor,1972,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/am-i-my-brothers-keeper?lang=eng
105,Missionary Training Begins Early,S. Dilworth Young,1972,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/missionary-training-begins-early?lang=eng
106,Salvation and Exaltation,Theodore M. Burton,1972,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/salvation-and-exaltation?lang=eng
107,Man’s Eternal Horizon,Joseph Anderson,1972,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/mans-eternal-horizon?lang=eng
108,Be a Missionary—Always—Everywhere You Go!,William H. Bennett,1972,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/be-a-missionary-always-everywhere-you-go?lang=eng
109,A Teacher,Howard W. Hunter,1972,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/a-teacher?lang=eng
